year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country,imageUrl,imageName
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1/1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Jacobus_van_%27t_Hoff_by_Perscheid_1904.jpg/300px-Jacobus_van_%27t_Hoff_by_Perscheid_1904.jpg,Jacobus_van_'t_Hoff_by_Perscheid_1904.jpg
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1/1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,NA,NA,NA,1907-09-07,Châtenay,France,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Sully_Prudhomme%2C_Ren%C3%A9-Fran%C3%A7ois-Armand%2C_BNF_Gallica.jpg/300px-Sully_Prudhomme%2C_Ren%C3%A9-Fran%C3%A7ois-Armand%2C_BNF_Gallica.jpg,"Sully_Prudhomme,_René-François-Armand,_BNF_Gallica.jpg"
1901,Peace,The Nobel Peace Prize 1901,NA,1/2,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,NA,NA,NA,1912-06-12,Paris,France,https://upload.wikimedia.org/wikipedia/commons/3/38/Frederic_Passy.jpg,Frederic_Passy.jpg
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1/1,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,1932-09-16,Putney Heath,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ronald_Ross.jpg/300px-Ronald_Ross.jpg,Ronald_Ross.jpg
1902,Peace,The Nobel Peace Prize 1902,NA,1/2,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,NA,NA,NA,1906-12-07,Bern,Switzerland,https://upload.wikimedia.org/wikipedia/commons/9/9a/Ducommun.jpg,Ducommun.jpg
1902,Peace,The Nobel Peace Prize 1902,NA,1/2,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,NA,NA,NA,1914-03-16,Bern,Switzerland,https://upload.wikimedia.org/wikipedia/commons/9/9b/Charles_Albert_Gobat2.jpg,Charles_Albert_Gobat2.jpg
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1/2,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943-10-09,Amsterdam,Netherlands,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Pieter_Zeeman.jpg/300px-Pieter_Zeeman.jpg,Pieter_Zeeman.jpg
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1/1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,1904-09-24,Copenhagen,Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Niels_Ryberg_Finsen_portrait.jpg/300px-Niels_Ryberg_Finsen_portrait.jpg,Niels_Ryberg_Finsen_portrait.jpg
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1/4,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906-04-19,Paris,France,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Pierre_Curie_by_Dujardin_c1906.jpg/300px-Pierre_Curie_by_Dujardin_c1906.jpg,Pierre_Curie_by_Dujardin_c1906.jpg
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",1/2,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,NA,NA,NA,1914-03-25,Maillane,France,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Frederic_Mistral_portrait_photo.jpg/300px-Frederic_Mistral_portrait_photo.jpg,Frederic_Mistral_portrait_photo.jpg
1905,Literature,The Nobel Prize in Literature 1905,"""because of his outstanding merits as an epic writer""",1/1,575,Individual,Henryk Sienkiewicz,1846-05-05,Wola Okrzejska,Poland,Male,NA,NA,NA,1916-11-15,Vevey,Switzerland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Stanis%C5%82aw_Biza%C5%84ski-H.Sienkiewicz.jpg/300px-Stanis%C5%82aw_Biza%C5%84ski-H.Sienkiewicz.jpg,Stanisław_Bizański-H.Sienkiewicz.jpg
1905,Medicine,The Nobel Prize in Physiology or Medicine 1905,"""for his investigations and discoveries in relation to tuberculosis""",1/1,297,Individual,Robert Koch,1843-12-11,Clausthal (Clausthal-Zellerfeld),Germany,Male,Institute for Infectious Diseases,Berlin,Germany,1910-05-27,Baden-Baden,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/RobertKoch_cropped.jpg/300px-RobertKoch_cropped.jpg,RobertKoch_cropped.jpg
1906,Chemistry,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",1/1,165,Individual,Henri Moissan,1852-09-28,Paris,France,Male,Sorbonne University,Paris,France,1907-02-20,Paris,France,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Henri_Moissan_HiRes.jpg/300px-Henri_Moissan_HiRes.jpg,Henri_Moissan_HiRes.jpg
1906,Literature,The Nobel Prize in Literature 1906,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",1/1,576,Individual,Giosuè Carducci,1835-07-27,Val di Castello,Tuscany (Italy),Male,NA,NA,NA,1907-02-16,Bologna,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Giosu%C3%A8_Carducci2.jpg/300px-Giosu%C3%A8_Carducci2.jpg,Giosuè_Carducci2.jpg
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",1/2,298,Individual,Camillo Golgi,1843-07-07,Corteno,Italy,Male,Pavia University,Pavia,Italy,1926-01-21,Pavia,Italy,https://upload.wikimedia.org/wikipedia/commons/5/57/Camillo_Golgi_nobel.jpg,Camillo_Golgi_nobel.jpg
1906,Medicine,The Nobel Prize in Physiology or Medicine 1906,"""in recognition of their work on the structure of the nervous system""",1/2,299,Individual,Santiago Ramón y Cajal,1852-05-01,Petilla de Aragó,Spain,Male,Madrid University,Madrid,Spain,1934-10-17,Madrid,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Cajal-Restored.jpg/300px-Cajal-Restored.jpg,Cajal-Restored.jpg
